"Jose_Maria_Merino_1" "Jose_Maria_Merino_2" "Jose_Maria_Merino_3" "Jose_Maria_Merino_4" "Jose_Maria_Merino_5" "Jose_Maria_Merino_6" "Jose_Maria_Merino_7" "Juan_Pedro_Aparicio_1" "Juan_Pedro_Aparicio_2" "Juan_Pedro_Aparicio_3" "Juan_Pedro_Aparicio_4" "Juan_Pedro_Aparicio_5" "Juan_Pedro_Aparicio_6" "Juan_Pedro_Aparicio_7" "Luis_Mateo_Diez_1" "Luis_Mateo_Diez_2" "Luis_Mateo_Diez_3" "Luis_Mateo_Diez_4" "Luis_Mateo_Diez_5" "Luis_Mateo_Diez_6" "Luis_Mateo_Diez_7"
"había" 0.0959692898272553 0 0 0 0 0.184672206832872 0 0.307062436028659 0.119760479041916 0.08424599831508 0 0 0.0951474785918173 0.0925925925925926 0.392927308447937 0.595238095238095 0 0.215827338129496 0 1.16279069767442 0
"también" 0.287907869481766 0.354609929078014 0.24370430544273 0.50251256281407 0.210304942166141 0.184672206832872 0 0.204708290685773 0 0.16849199663016 0.27906976744186 0.198609731876862 0.190294957183635 0.277777777777778 0.0654878847413229 0.093984962406015 0.241935483870968 0 0.269905533063428 0.387596899224806 0.0583771161704612
"hasta" 0.287907869481766 0.0886524822695035 0.0812347684809098 0.402010050251256 0.10515247108307 0.0923361034164358 0.2002002002002 0.204708290685773 0.119760479041916 0.08424599831508 0.186046511627907 0.099304865938431 0.380589914367269 0.277777777777778 0.196463654223969 0.219298245614035 0.0806451612903226 0.143884892086331 0.134952766531714 0.516795865633075 0
"ese" 0 0.177304964539007 0.16246953696182 0.100502512562814 0 0 0.2002002002002 0.102354145342886 0.239520958083832 0.16849199663016 0.186046511627907 0.198609731876862 0.285442435775452 0.0925925925925926 0.327439423706614 0.093984962406015 0.161290322580645 0.359712230215827 0.404858299595142 0 0.350262697022767
"tan" 0.287907869481766 0 0.0812347684809098 0.100502512562814 0.210304942166141 0.184672206832872 0.2002002002002 0.511770726714432 0.239520958083832 0.25273799494524 0.186046511627907 0.297914597815293 0.0951474785918173 0.37037037037037 0 0.093984962406015 0.161290322580645 0 0 0.387596899224806 0.291885580852306
"ha" 0.0959692898272553 0 0.487408610885459 0.402010050251256 0.736067297581493 0.0923361034164358 0.4004004004004 0.102354145342886 0.119760479041916 0.4212299915754 0.0930232558139535 0.496524329692155 0.0951474785918173 0.185185185185185 0 0 0.161290322580645 0.0719424460431655 0 0 0.0583771161704612
"ser" 0 0.0886524822695035 0.16246953696182 0.201005025125628 0.10515247108307 0.0923361034164358 0.1001001001001 0.204708290685773 0.598802395209581 0.08424599831508 0.186046511627907 0.099304865938431 0.190294957183635 0.37037037037037 0.130975769482646 0.093984962406015 0.161290322580645 0.359712230215827 0 0.129198966408269 0.291885580852306
"siempre" 0 0.177304964539007 0 0.100502512562814 0 0 0 0.614124872057318 0.119760479041916 0.08424599831508 0.27906976744186 0.099304865938431 0.190294957183635 0.185185185185185 0.392927308447937 0.06265664160401 0.161290322580645 0.719424460431655 0 0.258397932816537 0.116754232340922
"donde" 0.671785028790787 0.443262411347518 0 0 0.10515247108307 0.277008310249307 0.1001001001001 0 0 0 0.186046511627907 0.099304865938431 0 0 0.392927308447937 0.12531328320802 0 0.215827338129496 0.67476383265857 0 0.233508464681845
"memoria" 0 0 0 0 0 0 0 0 0 0 0.186046511627907 0 0 0.0925925925925926 0.0654878847413229 0.06265664160401 0.241935483870968 0 0.269905533063428 0 1.8096906012843
"otra" 0 0 0.0812347684809098 0.301507537688442 0.315457413249211 0.0923361034164358 0.1001001001001 0.204708290685773 0.239520958083832 0.16849199663016 0.0930232558139535 0.099304865938431 0.190294957183635 0.185185185185185 0.196463654223969 0.156641604010025 0.161290322580645 0.215827338129496 0.269905533063428 0 0.350262697022767
"son" 0.287907869481766 0.177304964539007 0.406173842404549 0 0.10515247108307 0.0923361034164358 0 0.204708290685773 0.359281437125749 0.08424599831508 0 0 0.190294957183635 0 0.0654878847413229 0.06265664160401 0.564516129032258 0.143884892086331 0.539811066126856 0 0.291885580852306
"yo" 0.0959692898272553 0 0.0812347684809098 0 0 0 0.1001001001001 0 0 0.08424599831508 0.0930232558139535 0 0.190294957183635 0 0.196463654223969 0.75187969924812 0 0.143884892086331 0.134952766531714 0.387596899224806 0.0583771161704612
"años" 0.383877159309021 0.0886524822695035 0.0812347684809098 0.100502512562814 0.210304942166141 0.0923361034164358 0 0 0.119760479041916 0 0.27906976744186 0.198609731876862 0.0951474785918173 0.37037037037037 0.261951538965291 0.31328320802005 0 0.0719424460431655 0 0.516795865633075 0
"don" 0 0 0 0 0.10515247108307 0 0 0 0 0 0.0930232558139535 0 0.190294957183635 0 0.0654878847413229 1.09649122807018 0 0 0 0 0
"porque" 0.0959692898272553 0 0 0 0 0 0 0.409416581371546 0.359281437125749 0.16849199663016 0.186046511627907 0.397219463753724 0.380589914367269 0.185185185185185 0.130975769482646 0.18796992481203 0 0.215827338129496 0.404858299595142 0.129198966408269 0.175131348511384
"sobre" 0.287907869481766 0 0.0812347684809098 0.100502512562814 0 0.461680517082179 0.2002002002002 0.102354145342886 0 0.16849199663016 0.372093023255814 0 0.285442435775452 0.37037037037037 0.0654878847413229 0.18796992481203 0.0806451612903226 0.143884892086331 0.134952766531714 0 0.175131348511384
"sólo" 0 0 0.16246953696182 0 0 0.184672206832872 0.1001001001001 0.307062436028659 0.239520958083832 0.16849199663016 0 0.297914597815293 0.0951474785918173 0.277777777777778 0.0654878847413229 0.18796992481203 0.161290322580645 0.143884892086331 0.269905533063428 0.129198966408269 0.408639813193228
"todo" 0.287907869481766 0.354609929078014 0.0812347684809098 0 0 0.277008310249307 0.3003003003003 0.102354145342886 0.239520958083832 0.25273799494524 0.186046511627907 0.198609731876862 0.190294957183635 0.277777777777778 0.0654878847413229 0.12531328320802 0.0806451612903226 0.287769784172662 0 0.129198966408269 0
"casi" 0.287907869481766 0.177304964539007 0 0 0 0.184672206832872 0.2002002002002 0.716479017400205 0 0 0.186046511627907 0.198609731876862 0 0.0925925925925926 0.261951538965291 0.219298245614035 0 0.215827338129496 0 0.258397932816537 0.116754232340922
"tiempo" 0 0 0 0 0.10515247108307 0.184672206832872 0 0.307062436028659 0.119760479041916 0.16849199663016 0 0 0 0.185185185185185 0.196463654223969 0.25062656641604 0.32258064516129 0.287769784172662 0.134952766531714 0.258397932816537 0.350262697022767
"algo" 0 0 0 0.201005025125628 0 0 0.2002002002002 0.204708290685773 0.479041916167665 0.25273799494524 0.186046511627907 0.297914597815293 0.285442435775452 0.555555555555556 0.261951538965291 0.12531328320802 0 0.143884892086331 0.134952766531714 0 0
"menos" 0 0.265957446808511 0 0 0.10515247108307 0.369344413665743 0.3003003003003 0 0 0.16849199663016 0.372093023255814 0.297914597815293 0.190294957183635 0.277777777777778 0.261951538965291 0.031328320802005 0 0.215827338129496 0 0.258397932816537 0.175131348511384
"mi" 0 0 0 0 0 0.0923361034164358 0 0 0 0 0.186046511627907 0 0.0951474785918173 0.0925925925925926 0 0.469924812030075 0 0.0719424460431655 0.269905533063428 1.93798449612403 0
"uno" 0.191938579654511 0.177304964539007 0.16246953696182 0 0 0 0.1001001001001 0.409416581371546 0.119760479041916 0.25273799494524 0 0.198609731876862 0.285442435775452 0.0925925925925926 0.45841519318926 0.031328320802005 0.161290322580645 0 0.269905533063428 0.129198966408269 0.175131348511384
"cuando" 0.287907869481766 0 0.0812347684809098 0 0 0.0923361034164358 0.2002002002002 0.102354145342886 0.239520958083832 0.25273799494524 0.0930232558139535 0.099304865938431 0.285442435775452 0.0925925925925926 0.327439423706614 0.219298245614035 0.0806451612903226 0.0719424460431655 0.269905533063428 0 0
"entre" 0.0959692898272553 0.177304964539007 0.0812347684809098 0 0.10515247108307 0.184672206832872 0.500500500500501 0.204708290685773 0.598802395209581 0.08424599831508 0.0930232558139535 0.198609731876862 0 0 0.0654878847413229 0.12531328320802 0 0 0.134952766531714 0.387596899224806 0.116754232340922
"aunque" 0.191938579654511 0.0886524822695035 0.0812347684809098 0.100502512562814 0 0.184672206832872 0.3003003003003 0.307062436028659 0 0 0.0930232558139535 0 0.0951474785918173 0.37037037037037 0.0654878847413229 0.156641604010025 0.0806451612903226 0.215827338129496 0.134952766531714 0.129198966408269 0.0583771161704612
"cada" 0.0959692898272553 0.0886524822695035 0 0.201005025125628 0.10515247108307 0 0.1001001001001 0.102354145342886 0.119760479041916 0 0.0930232558139535 0.099304865938431 0.0951474785918173 0.462962962962963 0.130975769482646 0.06265664160401 0 0.575539568345324 0 0 0.233508464681845
"dos" 0.0959692898272553 0.0886524822695035 0 0 0.10515247108307 0 0 0 0.479041916167665 0.25273799494524 0.186046511627907 0.198609731876862 0.380589914367269 0.185185185185185 0.130975769482646 0.093984962406015 0.161290322580645 0 0 0.258397932816537 0.175131348511384
"ni" 0.0959692898272553 0.0886524822695035 0 0.100502512562814 0.420609884332282 0.277008310249307 0 0 0.119760479041916 0.16849199663016 0.372093023255814 0.099304865938431 0.285442435775452 0 0.327439423706614 0.031328320802005 0.0806451612903226 0.215827338129496 0 0.129198966408269 0
"realidad" 0 0 0 1.50753768844221 0.10515247108307 0 0.1001001001001 0 0 0 0.0930232558139535 0 0 0 0.261951538965291 0.031328320802005 0.32258064516129 0.143884892086331 0.269905533063428 0.129198966408269 0
"severino" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.971177944862155 0 0 0 0 0
"todos" 0.479846449136276 0 0 0.100502512562814 0.10515247108307 0.184672206832872 0 0.102354145342886 0.119760479041916 0 0.0930232558139535 0 0.380589914367269 0 0.196463654223969 0.031328320802005 0.0806451612903226 0.215827338129496 0.134952766531714 0 0.350262697022767
"vez" 0 0 0.406173842404549 0.100502512562814 0.210304942166141 0 0.1001001001001 0 0.119760479041916 0.16849199663016 0 0.099304865938431 0.0951474785918173 0.0925925925925926 0.196463654223969 0.156641604010025 0 0.287769784172662 0.269905533063428 0.129198966408269 0.0583771161704612
"mundo" 0.479846449136276 0.0886524822695035 0.24370430544273 0.100502512562814 0 0 0.2002002002002 0 0 0.08424599831508 0.186046511627907 0.099304865938431 0 0.0925925925925926 0.196463654223969 0.031328320802005 0.241935483870968 0 0.404858299595142 0.129198966408269 0.116754232340922
"parte" 0 0.0886524822695035 0.24370430544273 0.201005025125628 0 0.184672206832872 0.500500500500501 0 0.119760479041916 0.16849199663016 0 0 0.285442435775452 0 0 0 0.0806451612903226 0.431654676258993 0 0 0.233508464681845
"ciudad" 0 0.531914893617021 0 0 0.10515247108307 0 0 0 0.119760479041916 0 0 0 0 0 0.0654878847413229 0.093984962406015 1.12903225806452 0 0.404858299595142 0 0
"fue" 0.383877159309021 0.354609929078014 0.16246953696182 0 0.10515247108307 0.184672206832872 0 0 0 0 0.0930232558139535 0.099304865938431 0 0 0.130975769482646 0.093984962406015 0.161290322580645 0.143884892086331 0 0.516795865633075 0.0583771161704612
"nada" 0.0959692898272553 0.177304964539007 0 0 0 0 0.1001001001001 0 0 0.25273799494524 0.0930232558139535 0 0.0951474785918173 0 0.327439423706614 0.156641604010025 0.161290322580645 0.431654676258993 0.134952766531714 0.129198966408269 0
"nuestra" 0.0959692898272553 0 0.893582453290008 0.402010050251256 0 0.0923361034164358 0 0 0 0 0 0.099304865938431 0.0951474785918173 0 0.0654878847413229 0.06265664160401 0 0.215827338129496 0 0 0.233508464681845
"otro" 0.191938579654511 0.177304964539007 0 0 0.10515247108307 0.184672206832872 0.3003003003003 0.204708290685773 0.239520958083832 0.08424599831508 0.186046511627907 0.099304865938431 0 0.0925925925925926 0.0654878847413229 0.031328320802005 0.0806451612903226 0 0.134952766531714 0.129198966408269 0.291885580852306
"decir" 0 0 0 0 0 0.0923361034164358 0.1001001001001 0.307062436028659 0 0 0.372093023255814 0.198609731876862 0.190294957183635 0.277777777777778 0.0654878847413229 0 0.161290322580645 0.143884892086331 0.269905533063428 0.129198966408269 0.233508464681845
"está" 0.0959692898272553 0.177304964539007 0.406173842404549 0.201005025125628 0 0.0923361034164358 0.2002002002002 0.102354145342886 0.239520958083832 0.08424599831508 0.0930232558139535 0.099304865938431 0 0 0 0.12531328320802 0 0 0.134952766531714 0 0.233508464681845
"tal" 0 0 0.24370430544273 0 0 0.0923361034164358 0 0 0.119760479041916 0.08424599831508 0.558139534883721 0.397219463753724 0.0951474785918173 0.0925925925925926 0.130975769482646 0.031328320802005 0.0806451612903226 0.143884892086331 0.134952766531714 0.129198966408269 0.116754232340922
"autor" 0.287907869481766 0 0 0.100502512562814 0.10515247108307 0.0923361034164358 0.600600600600601 0.204708290685773 0 0.08424599831508 0 0.297914597815293 0.475737392959087 0.185185185185185 0 0 0 0 0 0.258397932816537 0
"primera" 0.191938579654511 0 0.324939073923639 0 0 0 0.1001001001001 0.102354145342886 0.359281437125749 0.25273799494524 0.0930232558139535 0.297914597815293 0.0951474785918173 0.0925925925925926 0.130975769482646 0.06265664160401 0 0.0719424460431655 0.134952766531714 0.129198966408269 0
"bien" 0.0959692898272553 0.0886524822695035 0.16246953696182 0 0.10515247108307 0.184672206832872 0 0.102354145342886 0.359281437125749 0.16849199663016 0.0930232558139535 0.198609731876862 0 0.555555555555556 0 0.031328320802005 0 0.143884892086331 0 0 0.0583771161704612
"literatura" 0 0 1.21852152721365 0.100502512562814 0 0 0 0.102354145342886 0 0 0.0930232558139535 0 0 0.0925925925925926 0 0 0 0 0 0 0.350262697022767
"puede" 0.0959692898272553 0.177304964539007 0.0812347684809098 0.201005025125628 0.10515247108307 0.0923361034164358 0 0.102354145342886 0 0 0 0.198609731876862 0 0.277777777777778 0.196463654223969 0 0.0806451612903226 0.0719424460431655 0.269905533063428 0 0.233508464681845
